desc,source,img
"Jim Twaddle and a cousin by the name of McCullogh at the government surveyor's cabin, Buttle Lake ",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/a/9a017f5e0d276195d70d1e65a0930f30f3783f32036c7c8b524aae91118176d7/c-02370_141.jpg
Fish Packers At Sidney 1984,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/5/55c70b610294d060ff93eeb723e7249110a787164bd7f8abb39e319cfece91db/i-04639_141.jpg
Port Renfrew. Commercial Fish Boats 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/c/9cec124b6c7bc3340926add010a0f4044ecfad4eb5f1732278596d2d96210cdb/i-04145_141.jpg
"Fish store In Chinatown, Vancouver 29891",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/4/3/b/43b598d49e28832008e8615aaccfc2168bf0dc02b8fb3c06eb8d9574bd83a9d0/i-09473_141.jpg
"Granville Island Fish Market, Vancouver 1981",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/5/9/8596966da618dda3e3648c124848fc7591779d8afa8e7ff74eced20ad799d8e6/i-09527_141.jpg
Pond In The Kootenay Fish Hatchery 1981,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/d/8/1/d81588d2c08628f060473d2093662a27c881546a3d1c9b700e783ec8d1c20b7a/i-08129_141.jpg
Smoking Salmon At K'san Indian Village 1981,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/4/94e836b7c5728c02468b9fb7601a48d1cbbd9e4bf6f3c38c579551ff4885f3a4/i-11565_141.jpg
Kootenay Fish Hatchery Sign 1977,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/7/3/6/736b76906dcd872db4b2ffc74f67d32bf907853660a3b5e47cb7535a3e1bdff7/i-08117_141.jpg
Kootenay Fish Hatchery At Wardner 1973,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/6/2/8628d3488ad4009a6f1d1e2a7cdca9dafe3701fd2bad8e5c1bcd58626ec4dccc/i-08123_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/e/0/d/e0dde06dc27adea22190d427d5892f8799792659bdd0e34aa66441b43a052dc3/i-18393_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/2/3/8230615ca8d90c7424fd717c958314cb99097b4f488403f3266d74d95078bc3c/i-18397_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/d/1/b/d1b314c49e57a99a531ea5f8dc693cb07f1b9428576567343cd32b530c005c02/i-18404_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/c/9/d/c9d4da9882a7ef16af392896180bb2539fdb938e6e8b0f18615b7e97f94055c9/i-18410_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/2/e/0/2e0162f1b824290f097e0045bb7b026d602782ce89fc7d2d5ad179736ed30da4/i-18418_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/b/7/2/b721a41713edaf5a4e23e036d0fdd12a24ae1f304c549495a778570b8dc59474/i-18421_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/7/3/d/73d127c9c64b80405c1350ce8beaeab7c4f376b60af90ad961115e32d6391c6b/i-18427_141.jpg
Fish Processing 1975,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/c/3/8/c38f3f2ef8670e89336bc9ab9510aa2c51d74b43d42409ce45035ef87a4342ca/i-18429_141.jpg
Fish Cleaning 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/a/b/f/abfc058af68ce1e3e6cfceec3bbfd45e19e0e7d227c799eaae23a079de30dc1b/i-18431_141.jpg
Smoking Salmon 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/b/2/5/b25cdfd38740715e01bcd103e771cc71e40e0541be97d0daa18a0d8dea7a34e9/i-18435_141.jpg
Smoking Salmon 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/b/8/c/b8ca4ba6282e960217df4b0d7206f8c111d44666fd73b1ca8732257fe35a2d1e/i-18436_141.jpg
Smoking Salmon 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/3/c/2/3c2635deb121dc0e4f8f9966229f59dd77e5d74433893d66221a797976255d22/i-18440_141.jpg
Fish Processing 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/d/9/9/d991b38b5344adcd71e550916e8a5b8aca7401a03611eb9c922a7148e5f2df97/i-18441_141.jpg
Smoking Salmon 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/1/4/9/149713d8717bfc3417b43047cf98b3f969966aaf81fbd933acf17b424d434d22/i-18448_141.jpg
Processing Fish Roe 1979,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/3/0/530870860c715d5f7ac3c274a93c246bae36b7a6019b6456d09fb170c6e3cd2f/i-18453_141.jpg
Commercial Fish Boat [198-],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/f/9/9f9fef32820d6227ac3a5c68683fb2ba660fc17389e25727ad58b8a589949542/i-17528_141.jpg
Commercial Fish Boat 1977,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/a/1/2/a12f7f1fca0dab9945fb93bc1eaea8a7d04f229b04c17e915c6f860f51610ac8/i-17855_141.jpg
Commercial Fish Boat 1983,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/4/5/5451025be3b6151746ee677c252628750966d2adbf14ad8e0c548d86cd5cc1c5/i-17858_141.jpg
"Forest Service; effects of logging on fish habitat, Carnation Creek 1980",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/c/f/2/cf2fd1853c13071fcc91a95f6611a9f485d71d96af20b9ca88aa3e2c0986ecd4/na-35998_141.jpg
Sooke Fish Traps 1952,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/9/89f7d878e55c2986e6c9c4391b3d0c04aae1337309645821e45c544758ae189b/i-26741_141.jpg
"Commercial Fish Boats, Port Hardy 1985",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/e/e/9ee4671b29f9378a004fe55936c991adaaafb518b387bf35046f5b8dfa023600/i-12277_141.jpg
"Fish Boats, Prince Rupert 1974",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/9/a/89a1435d17a07ee0e7c2a374a2f866d2b7397d4b7d478a5ee9c4c8c360074f14/i-15563_141.jpg
Commercial Fish Boats Bella Coola Harbour 1982,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/0/a/0a09abad58cd0f71c481919cff4966c59e285bc0c4cd23f6fbca9f593ea4ba48/i-05517_141.jpg
Prince Rupert Fish Packers. Halibut 1947,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/2/a/2a1af75cc41c0c02cff73e207e6958f04851eea3d3be87ac4c8c09f431a3c6c4/i-28888_141.jpg
