"img","source","desc"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/05/zoologicasc4519231926newy_0495.jpeg","Zoologica Vol. V (1923-1926)","Brachyuran crabs collected by the Williams Galapagos Expedition, 1923"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/06/zoologicascienti61925newy_0114.jpeg","Zoologica Vol. VI (1925)","Studies of a tropical jungle at Kartabo, British Guiana"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0028.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Oceanographic Expedition"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0076.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0080.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0082.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0084.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0086.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0088.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0091.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0092.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0094.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0095.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0097.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0098.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0100.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0101.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0103.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0105.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0107.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0108.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0110.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0111.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0113.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/08/zoologicasci819261931newy_0118.jpeg","Zoologica Vol. VIII (1926-1931)","The Arcturus Operation and Equipment"
